Method	Functional Description
toLocalDate	获取此日期时间的 
               LocalDate部分。
icSigAToB0Tag	ICC配置文件标记签名：'A2B0'。
getGlassPane	返回glassPane。
getQ	返回次级抵押贷款 
               q 。
getAnnotatedOwnerType	如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。
setCharacterStream	将指定参数设置为给定的 
               Reader对象。
getAccessibleContext	获取与此JViewport关联的可访问上下文
procedureNullableUnknown	指示是否允许 
               NULL值是未知的。
imageComplete	报告当前图像读取操作已完成。
show	显示弹出窗口
deiconifyFrame	通常，删除任何存在的图标表示，并将帧恢复为原始大小和位置。
read	读入一个字节数组。
icSigViewingConditionsTag	ICC配置文件标记签名：'查看'。
getEnclosedElements	返回在此类或接口中直接声明的字段，方法，构造函数和成员类型。
isSpecified	除非DTD默认提供属性值，否则返回true。
asIntBuffer	将此字节缓冲区的视图创建为int缓冲区。
close	关闭此枚举。
getController	获取指定控制器的当前值。
isSupported	检查指定的单元是否受支持。
getEndOffset	从此元素结束的文档开头获取偏移量。
getLoginTimeout	获取此数据源在尝试连接到数据库时可以等待的最长时间（以秒为单位）。
setClob	将指定参数设置为 
               Reader对象。
setReadOnly	设置此 
               RowSet对象是否对给定的 
               boolean是只读的。
addTileObserver	添加一个观察者。
getChildrenAdded	获取添加到给定父元素的子元素。
hitClip	如果指定的矩形区域可能与当前剪裁区域相交，则返回true
forEachRemaining	在当前线程中按顺序对每个剩余元素执行给定操作，直到所有元素都已处理或操作引发异常。
addAll	将指定集合中的所有元素插入到指定位置的此列表中（可选操作）。
imageStarted	报告图像写入操作正在开始。
screenAboutToSleep	当系统显示进入节电睡眠状态时调用。
getPermissions	不推荐使用，要删除：此API元素将在以后的版本中删除。
normalized	返回此期间的副本，其中每个单位的数量已标准化。
ancestorAdded	当通过调用setVisible（true）或将其添加到组件层次结构中使源或其祖先之一可见时调用。
setObject	使用给定对象设置指定参数的值。
close	释放与此Reader相关的任何资源。
poll	检索并删除下一个监视密钥，必要时等待指定的等待时间（如果还没有）。
setAccessibleIconDescription	设置图标的描述。
acceptEitherAsync	返回一个新的CompletionStage，当此或其他给定阶段正常完成时，使用提供的执行程序执行，并将相应的结果作为所提供操作的参数。
setNamedItemNS	使用其 
               namespaceURI和 
               localName添加节点。
setGlassPane	glassPane始终是rootPane的第一个子节点，rootPanes布局管理器确保它始终与rootPane一样大。
writeShort	将两个字节写入输出流以表示参数的值。
hasNext	如果有更多解析事件，则返回true;如果没有更多事件，则返回false。
seek	将当前流位置设置为所需位置。
getNumXTiles	返回X方向上的切片数。
getDividerSize	返回分隔符的大小
hasArray	判断此缓冲区是否由可访问的数组支持。
columnRemoved	设置此TabbedPane的选中组件
test	根据给定的参数计算此谓词。
isEmpty	如果此集合不包含任何元素，则返回 
               true 。
printJobCompleted	被叫通知客户端作业已成功完成。
contentsChanged	当列表内容以过于复杂的方式更改而无法使用以前的方法进行表征时发送。
maximumLayoutSize	在给定组件包含的组件的情况下，计算指定容器的最大大小尺寸。
doLayout	跟踪表格内容的列插入变化
uis	包含真实UI的向量。
parse	使用特定格式化程序从文本字符串中获取 
               YearMonth的实例。
sequenceStarted	报告一系列读操作正在开始。
spliterator	在此集合中的元素上创建Spliterator 。
getBounds2D	给定这个源，返回目标的边界框
procedureNoNulls	表示不允许 
               NULL值。
higher	返回此集合中的最小元素严格大于给定元素，如果没有这样的元素，则 
               null 。
drop	当拖动操作终止时，在此监听 
               DropTarget注册的 
               DropTarget的放置站点的可操作部分上放下时 
               DropTarget 。
replaceAll	将每个条目的值替换为在该条目上调用给定函数的结果，直到所有条目都已处理或函数抛出异常。
getTransferDataFlavors	返回DataFlavor对象的数组，指示可以提供数据的风格。
getBeanContextProxy	获取与此对象关联的 
               BeanContextChild （或子接口）。
getFileName	返回此路径表示为 
               Path对象的文件或目录的名称。
plus	返回与此对象相同类型的对象，并添加一个量。
evaluateExpression	评估指定上下文中的XPath表达式。
setRowSelectionAllowed	设置此模型中的行是否可以被选择
uis	包含真实UI的向量。
getObject	返回表示OUT参数 
               parameterName的值的对象，并使用 
               map作为参数值的自定义映射。
setMaximum	设置模型的最大属性
compareTo	将此日期与另一个日期进行比较，包括年表。
menuDragMouseDragged	在菜单组件的显示区域中拖动鼠标时调用。
fireStateChanged	当视图的大小、位置或视口的范围大小发生变化时，通知所有变更监听器
getNullType	返回null类型。
activate	已过时。
getCurrentAccessibleValue	获取此对象的值为 
               Number 。
create	根据文档的给定结构元素创建视图。
attributeUpdate	通知侦听器某些打印作业属性的更改。
getKeyStroke	返回代表指定字符的键入事件的键击的共享实例
getMinimum	返回进度值的最小值
toLocalTime	获取此日期时间的本地时间部分。
getInput	正在解析的输入源。
comparator	返回用于为了在这个映射中的键，或比较null如果此映射使用natural ordering的钥匙。
put	绝对 
               放法 
               （可选操作） 。
createProcessingInstruction	给定指定的名称和数据字符串，创建一个 
               ProcessingInstruction节点。
permits	确定是否为算法授予指定加密基元的权限。
create	给定RenderContext和包含操作源和参数的ParameterBlock，创建渲染。
localControl	打开或关闭本地控制。
setLabelTable	用于指定在任何给定值处将绘制什么标签
getPrefix	获取当前作用域中名称空间URI的前缀绑定。
paintBorder	使用指定的位置和大小绘制指定组件的边框。
icSigAToB2Tag	ICC配置文件标记签名：'A2B2'。
thumbnailStarted	报告缩略图写入操作正在开始。
visitExecutable	访问可执行类型。
getParams	返回特定于DSA的键参数。
getPrefix	获取前缀，如果这是默认名称空间声明，则返回“”。
addPermission	不推荐使用，要删除：此API元素将在以后的版本中删除。
userSessionDeactivated	在用户会话被切换时调用。
put	将指定的元素插入此队列，等待空间变为可用。
put	相对批量 
               放置方法 
               （可选操作） 。
clone	制作此 
               CertStoreParameters的副本。
getDesktopPaneForComponent	返回指定组件的桌面窗格
getMonthValue	获取1到12之间的月份字段。
type	返回 
               context值的类型。
icCurveData	ICC配置文件常量：curveType数据。
parameterModeInOut	常量表示参数的模式为INOUT。
of	返回一个模块查找器，它通过搜索一系列目录和/或打包模块来定位文件系统上的模块。
removeActionListener	删除ActionListener
fatalError	接收不可恢复错误的通知。
setEncoding	用于输出的字符编码。
menuKeyPressed	按下某个键时调用。
createInputMethodWindow	创建一个顶级窗口供输入法使用。
getPacketBufferSize	获取使用此会话时预期的最大SSL / TLS / DTLS数据包的当前大小。
getXAConnection	尝试使用给定的用户名和密码建立物理数据库连接。
evaluateExpression	在指定的上下文中计算XPath表达式，并使用通过 
               class type指定的类型返回结果
getAccessibleText	如果存在，获取与此对象关联的可访问文本
getName	返回当前START_ELEMENT或END_ELEMENT事件的QName
commitEdit	将当前编辑的值推送到微调器模型中
getNotationName	对于未解析的实体，实体的表示法的名称。
serialVersionUID	设置为指示自J2SE 1.4以来的序列化兼容性的类指纹。
hashCode	返回合适的哈希码。
createDefaultEditors	获取与此对象关联的可访问文本（如果存在）
list	返回包含用户定义属性名称的列表。
isDirect	判断此双缓冲区是否是直接的。
getProperty	从底层实现获取功能/属性的值
getReceiver	获得此发射器将传送MIDI信息的当前接收器。
getCellEditorValue	返回编辑器中包含的值。
getData	计算并返回RenderedImage的任意区域。
getInterface	使用在解释器中编译的脚本对象的成员函数返回接口的实现。
createDefaultSelectionModel	获取表格单元渲染器的可访问上下文
getMaxFieldSize	检索可能为某些列值返回的最大字节数。
isNegative	不推荐使用，要删除：此API元素将在以后的版本中删除。
isEnabled	确定对象是否已启用。
getElementsByTagNameNS	返回 
               NodeList的所有 
               Elements具有给定本地名称和命名空间URI在文档顺序。
getCriticalExtensionOIDs	获取由实现此接口的对象管理的证书/ CRL中标记为CRITICAL的扩展的OID字符串集。
dragExit	被称为光标的热点退出平台相关的放置站点。
registerOutParameter	将名为 
               parameterName的参数注册为JDBC类型 
               sqlType 。
setSelected	设置当前选择的组件，产生对选择模型的更改
getAttributes	获取此打印服务的一组打印机描述属性，以提供此打印服务的状态。
registerOutParameter	注册指定的输出参数。
deiconifyFrame	通常，删除任何存在的图标表示，并将帧恢复为原始大小和位置。
arrayOffset	返回此缓冲区缓冲区第一个元素的后备数组中的偏移量 
               （可选操作） 。
getColumnNumber	返回当前文档事件结束的字符位置。
setUi	设置渲染此组件的外观和感觉对象
getQueryTimeout	检索驱动程序等待语句执行的最大秒数。
getAccessibleIconDescription	获取图标的描述。
fillPolygon	用图形上下文的当前颜色填充由指定多边形对象定义的多边形
open	打开具有指定格式的行，使该行获取任何所需的系统资源并开始运行。
setSample	使用float作为输入在数据缓冲区中设置位于x,y的像素的指定波段中的样本
put	相对批量 
               放置方法 
               （可选操作） 。
toLocalDateTime	获取此日期时间的本地日期时间部分。
icSigOutputClass	ICC简介类签名：'prtr'。
put	相对批量 
               放置方法 
               （可选操作） 。
getFilter	当应用程序提供过滤器时，序列化程序将在序列化每个节点之前调用过滤器。
getOffsets	返回所有银行的数组元素偏移量
getDisabledIconAt	返回索引处的选项卡禁用图标
getBackground	获取此对象的背景颜色。
nextEvent	获取下一个XMLEvent。
getComparator	返回将用于对焦点遍历周期中的组件进行排序的比较器
getPITarget	获取处理指令的目标
comparing	接受从类型T中提取排序键的T ，并返回Comparator<T> ，使用指定的Comparator通过该排序键进行比较。
dispatchInputMethodEvent	根据给定的参数创建输入方法事件，并将其分派给客户端组件。
writeLongs	将一系列longs写入当前位置的流。
createViewport	默认返回一个新的JViewport
toCompletableFuture	返回CompletableFuture，保持与此阶段相同的完成属性。
setFont	设置此对象的字体。
getShowsRootHandles	返回显示根句柄属性的值
equals	将指定对象与此属性集进行比较以进行相等性比较。
getProcessedDTD	返回DTD的实现定义表示。
setParameter	设置参数的值。
delete	删除两个索引之间的文本。
importNode	将节点从另一个文档导入到此文档，而不从原始文档中更改或删除源节点;
此方法创建源节点的新副本。
getDOMImplementationList	一种请求支持指定功能和版本的DOM实现列表的方法，如中所述。
setSelectionModel	设置树的选择模型
headMap	返回此映射的部分视图，其键小于（或等于，如果 
               inclusive为真） 
               toKey 。
getCharacterStream	将此 
               Clob对象指定的 
               CLOB值检索为 
               java.io.Reader对象（或作为字符流）。
mouseExited	鼠标退出组件时调用。
inputMethodTextChanged	通过输入方法输入的文本发生更改时调用。
identity	返回始终返回其输入参数的一元运算符。
selectColor	所选单选按钮的颜色。
setFont	设置当前字体
getLoginTimeout	获取此数据源在尝试连接到数据库时可以等待的最长时间（以秒为单位）。
setIdAttribute	如果参数 
               isId是 
               true ，则此方法将指定的属性声明为用户确定的ID属性。
shape	使用提供的上下文，转换文本中从start到start + count之间的数字
getAutoscrollInsets	此方法返回 
               Insets描述相对于实现Component的几何的自动滚动区域或边框。
getPrefixes	获取绑定到当前作用域中的Namespace URI的所有前缀。
applyAsInt	将此运算符应用于给定的操作数。
format	使用指定的格式化程序格式化此日期时间。
getByteOrder	返回将从此流中读取数据值的字节顺序，作为 
               java.nio.ByteOrder枚举的实例。
getChildrenAdded	获取添加到给定父元素的子元素。
equals	判断此缓冲区是否等于另一个对象。
getPath	返回应在树中放置拖放数据的路径
takeLast	检索并删除此双端队列的最后一个元素，必要时等待元素可用。
setBlockIncrement	向super发送设置值的消息，并将块增量设置实例变量重置为true
zonedDateTime	从另一个时间对象获得此年表中的 
               ChronoZonedDateTime 。
getElemFloat	从第一个默认银行返回请求的数据数组元素作为一个浮点数
isOwner	不推荐使用，要删除：此API元素将在以后的版本中删除。
put	相对批量 
               放置方法 
               （可选操作） 。
evaluate	在指定的上下文中计算XPath表达式并将结果返回为 
               String 。
getTargetModules	返回打开包的特定模块或null，如果包打开了所有对此模块具有可读性的模块。
windowIconified	当窗口从正常状态更改为最小化状态时调用。
readShort	读取流中的下一个属性，并以Java编程语言将其作为 
               short返回。
updateUi	重新加载可插拔UI
subtractFrom	从指定的时态对象中减去此句点。
adjustInto	调整指定的时间对象以具有此月 - 日。
setElemDouble	将第一个默认银行的请求数据数组元素设置为给定的双精度浮点数
getComponentAt	返回索引处的组件
openURI	当要求应用程序打开 
               URI
flip	翻转此缓冲区。
get	检索与给定URI关联的cookie，或其域与给定URI匹配的cookie。
createDialog	创建并返回一个新的JDialog，将此组件居中于父组件的父组件框架上
getScrollOffset	获取滚动偏移量（以像素为单位）
getFont	从系统属性列表中返回一个字体对象
getParams	返回与此键关联的参数。
getChronology	获取此日期时间的年表。
compose	返回一个组合运算符，该运算符首先将 
               before运算符应用于其输入，然后将此运算符应用于结果。
clean	clean调用从'id'中指示的每个远程对象的引用列表中删除'vmid'。
contains	测试字符串是否为此 
               DOMStringList一部分。
getPrincipal	不推荐使用，要删除：此API元素将在以后的版本中删除。
add	将整个流添加到输出流，在inputStream参数上调用next（），直到hasNext（）返回false这应该被视为一个方便的方法，它将对事件阅读器中的所有事件执行以下循环并在每个事件上调用add事件。
isLeaf	如果此节点允许子节点，则返回true
setLocale	尝试设置输入区域设置。
flush	将任何缓存的事件写入基础输出机制
addSelectionPaths	这被重写为不做任何事情；空选择模型不允许选择
getCharacterStream	语言和绑定依赖类型的属性，表示可以输出16位单元的可写流。
setBinaryStream	将指定参数设置为给定输入流，该输入流将具有指定的字节数。
icHdrMagic	ICC配置文件标题位置：icMagicNumber。
createXMLReader	已过时。
getLastDividerLocation	返回分隔符的最后位置
parentTag	标记以在文档中检查。
icSigBlueTRCTag	ICC配置文件标记签名：'bTRC'。
popupMenuWillBecomeVisible	在弹出菜单变为可见之前调用此方法
writeNClob	将SQL 
               NCLOB值写入流。
getCategory	获取打印属性类，该属性类在添加到属性集时用作此打印属性值的“类别”。
now	从指定时区的系统时钟获取当前月 - 日。
item	返回地图中的 
               index项。
removeAll	删除此集合的所有元素，这些元素也包含在指定的集合中（可选操作）。
writeByte	将下一个属性作为Java字节写入流中。
getContainerGap	返回在组件和其父组件指定边缘之间放置的空间量
isAfter	检查此月 - 日是否在指定的月 - 日之后。
setAsciiStream	将指定参数设置为给定输入流。
icCurveData	ICC配置文件常量：curveType数据。
getProperty	从底层实现获取功能/属性的值
isInsertRow	移除索引处的选项卡
readFully	读取 
               len根据当前字节顺序从流双打（64位IEEE双精度浮点值），并且将它们存储到 
               d开始于索引 
               off 。
setEscapeProcessing	打开或关闭此 
               RowSet对象的转义处理。
setSQLXML	将指定参数设置为给定的 
               java.sql.SQLXML对象。
setIdAttributeNS	如果参数 
               isId是 
               true ，则此方法将指定的属性声明为用户确定的ID属性。
getTile	返回tile（tileX，tileY）。
keyTyped	键入键时调用。
icSigYxyData	ICC配置文件颜色空间类型签名：'Yxy'。
newThread	返回在给定池中运行的新工作线程。
resetAllControllers	将所有已实现的控制器重置为其默认值。
range	获取指定字段的有效值范围。
getLastSelectedPathComponent	返回选中路径的最后一个路径组件
getFormat	不推荐使用，要删除：此API元素将在以后的版本中删除。
negate	返回表示此谓词的逻辑否定的谓词。
setBlinkRate	设置插入符的闪烁率。
addChangeListener	添加 
               listener作为模型中更改的侦听器。
icTagReserved	ICC配置文件常量：保留。
getSelectedColumnCount	返回所选列的数量。
mousePressed	在组件上按下鼠标按钮时调用。
getScrollableTracksViewportWidth	如果自动调整大小模式设置为AUTO_RESIZE_OFF，则返回false，这表示视口的宽度不决定表的宽度
read	从流中读取单个字节并将其作为0到255之间的整数返回。
icSigPs2CRD3Tag	ICC配置文件标记签名：'psd3'。
scrollRowToVisible	滚动由行标识的项直到显示
getDependency	返回所需的模块
getOffsetBefore	获取转换前的偏移量。
selectColor	所选单选按钮的颜色。
getTileGridYOffset	返回图块网格相对于原点的Y偏移，即图块（0,0）的左上角像素的Y坐标。
getSelectedIndex	返回此TabbedPane的当前选中索引
internalFrameActivated	激活内部框架时调用。
getPreferredSize	返回此文本字段所需的首选尺寸维度
getImplicitDownCycleTraversal	返回此排序焦点遍历策略是否隐式向下传递焦点
of	从年表ID或日历系统类型获得 
               Chronology的实例。
setSQLXML	将指定参数设置为给定的 
               java.sql.SQLXML对象。
clone	制作此 
               CRLSelector的副本。
isEnabled	确定对象是否已启用。
removeChangeListener	从进度条中移除变更监听器
releaseService	通过调用底层 
               BeanContextServiceProvider上的releaseService（），释放 
               BeanContextChild （或与BeanContextChild关联的任意对象）对指定服务的 
               BeanContextServiceProvider 。
getCurrentServiceClasses	获取此上下文的当前可用服务。
getSupportedSourceVersion	返回此注释处理器支持的最新源版本。
tileUpdate	一块瓷砖即将更新（它要么被抓取用于写入，要么正在从写入中释放）。
wrap	将短数组包装到缓冲区中。
windowDeiconified	窗口从最小化状态更改为正常状态时调用。
subSet	返回此set的部分视图，其元素范围从 
               fromElement （包括）到 
               toElement （独占）。
getSourceVersions	返回此工具支持的Java™编程语言的源版本。
disabledTextColor	禁用文本的颜色。
getDelay	以给定的时间单位返回与此对象关联的剩余延迟。
componentRemoved	从容器中删除组件时调用。
setAutoIncrement	设置指定列是否自动编号，默认为 
               RowSet对象的列不自动编号。
setSelectedColor	将所选颜色设置为 
               color 。
preferredLayoutSize	在给定包含的组件的情况下，计算指定容器的首选大小尺寸。
getTileHeight	返回tile高度（以像素为单位）。
offer	将指定的元素插入此双端队列表示的队列中（换句话说，在此双端队列的尾部），如果它是立即可行且不会违反容量限制，返回 
               true在成功和 
               false如果当前没有空间可用。
setData	该处理指令的内容。
getDateTimeBefore	获取本地转换日期时间，用“before”偏移量表示。
runAfterEitherAsync	返回一个新的CompletionStage，当该阶段或其他给定阶段正常完成时，使用此阶段的默认异步执行工具执行给定的操作。
getPublicId	此表示法的公共标识符。
deleteDirectory	删除目录。
isSelectionVisible	确定选择当前是否可见。
getContentPane	返回contentPane。
getQualifiedName	返回此类型元素的完全限定名称。
setReceiver	设置此发射器将传送MIDI信息的接收器。
getAsText	获取属性值作为文本。
maximizeFrame	通常，应调整框架的大小以匹配其父级边界。
of	返回包含七个元素的不可修改集。
makeParser	已过时。
array	返回支持此缓冲区的double数组 
               （可选操作） 。
cancel	尝试取消执行此任务。
from	从时态对象获得 
               YearMonth的实例。
screenAboutToSleep	当系统显示进入节电睡眠状态时调用。
getMouseListener	返回将添加到组合框的鼠标侦听器或null。
startDocument	已过时。
getScrollableUnitIncrement	返回滚动增量（以像素为单位），完全暴露一个新的行或列，取决于方向
toLocalDate	获取此日期时间的本地日期部分。
dirty	脏调用请求与数组'ids'中包含的对象标识符关联的远程对象引用的租约。
of	返回包含十个元素的不可修改列表。
hashCode	返回此集合的哈希码值。
whenCompleteAsync	返回一个新的CompletionStage，其结果或异常与此阶段相同，在此阶段完成时使用此阶段的默认异步执行工具执行给定操作。
getName	返回此主体的名称。
tailMap	返回此映射部分的视图，其键大于或等于 
               fromKey 。
isEmpty	如果此列表不包含任何元素，则返回 
               true 。
setToggleClickCount	设置展开或关闭节点前的鼠标点击次数
removeRowSetListener	从此 
               RowSet对象上发生事件时将通知的组件列表中删除指定的侦听器。
getMimeTypes	返回此对象支持的MIME类型的 
               DataFlavor对象的数组。
getOrientation	返回此分隔符的方向
writeURL	将SQL 
               DATALINK值写入流。
remove	从商店中删除cookie。
getStateToBind	检索绑定对象的状态。
codePoints	返回此序列中的代码点值流。
getVendor	返回支持此数据类型的供应商的名称。
getToolTipText	返回工具提示文本。
icSigPreview1Tag	ICC配置文件标记签名：'pre1'。
getTreeSelectionListeners	返回通过addTreeSelectionListener添加到此JTree的所有树选择监听器的数组
createValue	创建从 
               UIDefaults表中检索的实际值。
numberFilter	返回一个行过滤器，该过滤器包含至少有一个满足指定条件的数字值的条目
nextNode	返回集合中的下一个节点，并提升集合中 
               NodeIterator的位置。
setDot	将插入位置设置为某个位置。
printDataTransferCompleted	被调用以通知客户端数据已成功传输到打印服务，并且客户端可以释放为该数据分配的本地资源。
removeRowSelectionInterval	从index0到index1（含）取消选择行
removeChangeListener	从此TabbedPane中移除变更监听器
tailSet	返回此set的部分视图，其元素大于或等于 
               fromElement 。
getListCellRendererComponent	返回已配置为显示指定值的组件。
createMultiDocPrintJob	创建一个可以打印multiDoc的作业。
mapRenderContext	将操作的输出RenderContext映射到每个操作源的RenderContext。
setXPathFunctionResolver	建立功能解析器。
createXAConnectionBuilder	创建一个新的 
               XAConnectionBuilder实例
getCellEditorValue	返回编辑器中包含的值。
createCompatibleImage	返回与此图形配置兼容的数据布局和颜色模型的缓冲图像
filter	执行从源Raster到目标Raster的单输入/单输出操作。
menuKeyPressed	按下某个键时调用。
getMaximumSize	滚动条沿其滚动轴是灵活的，沿另一个轴是刚性的
getSelectedColumns	返回所有选中列的索引
getType	已过时。
isTimeBased	检查此字段是否表示时间的组成部分。
next	返回迭代中的下一个元素。
get	绝对 
               获取方法。
showDocument	已过时。
getXmlVersion	作为 
               XML declaration的一部分指定此文档的版本号的属性。
getSources	返回RenderedImages的矢量，它是此RenderedImage的图像数据的直接来源。
setAttributes	设置两个索引之间的文本属性。
noteOn	开始指定的音符发声。
getId	返回标识此外观的字符串
itemStateChanged	在用户选择或取消选择项目时调用。
getChildElementCount	返回Element类型的元素的当前子节点数。
iterator	返回此流的元素的迭代器。
evaluate	在指定的 
               InputSource的上下文中计算已编译的XPath表达式，并将结果作为指定的类型返回。
columnMarginChanged	告诉听众由于保证金更改而移动了列。
getModel	返回我们的微调器祖先的SpinnerDateModel
array	返回支持此缓冲区的字节数组 
               （可选操作） 。
toArray	返回一个包含此collection中所有元素的数组;
返回数组的运行时类型是指定数组的运行时类型。
getSelectedItem	返回所选项目
icSigGreenMatrixColumnTag	ICC配置文件标记签名：'gXYZ'。
installProperty	便利方法，如果开发者尚未设置该属性，则在组件上安装指定名称和值的属性
addActionListener	向此文本字段添加指定的动作监听器，以接收来自此文本字段的动作事件
applyAsDouble	将此运算符应用于给定的操作数。
getWidths	获取字体中前256个字符的前进宽度
getAccessibleAt	返回 
               Accessible子 
               Accessible （如果存在），包含在本地坐标 
               Point 。
withZoneSameInstant	使用不同的时区返回此日期时间的副本，保留该瞬间。
hasMoreElements	测试此枚举是否包含更多元素。
length	检索此 
               Clob对象指定的 
               CLOB值中的字符数。
getData	该处理指令的内容。
keySet	返回此映射中包含的键的Set视图。
append	将给定文本追加到文档末尾
setNamespaceContext	建立命名空间上下文。
lostOwnership	通知此对象它不再是剪贴板所有者。
getStringBounds	返回指定字体渲染上下文中指定字符迭代器中索引的字符的逻辑边界
tableChanged	此细粒度通知告诉侦听器更改的单元格，行或列的确切范围。
getBlob	以Java编程语言中Blob对象的形式检索指定的JDBC BLOB参数的值。
getPropertyNames	返回getProperty识别的名称列表。
addChangeListener	将ChangeListener添加到模型的侦听器列表中。
setAsciiStream	将指定参数设置为给定输入流。
getTypeParameters	以声明顺序返回此类型元素的形式类型参数。
pop	从此双端队列表示的堆栈中弹出一个元素。
keyReleased	释放密钥时调用。
getAccessibleKeyBinding	返回此对象的键绑定。
setSample	使用int作为输入在数据缓冲区中设置位于x,y的像素的指定波段中的样本
setSortKeys	设置当前排序键
order	检索此缓冲区的字节顺序。
intervalRemoved	在index0中的索引之后发送，index1间隔已从数据模型中删除。
passComplete	报告当前读取操作已完成渐进式传递。
rotate	与旋转变换连接当前graphics2d变换
setInvokesStopCellEditing	通过选择树中的另一个节点、树数据的更改或其他方式中断编辑时发生的情况
processKeyEvent	处理重要事件。
negate	返回表示此谓词的逻辑否定的谓词。
pollFirst	检索并删除此双端队列的第一个元素，如果此双端队列为空，则返回 
               null 。
addPropertyChangeListener	添加 
               PropertyChangeListener至此 
               BeanContextChild ，以便在指定的属性发生更改时收到 
               PropertyChangeEvent 。
getInputStream	已过时。

没有替代品
setLong	将指定参数设置为给定的Java 
               long值。
dragExit	在拖动操作正在进行时调用，当鼠标指针退出注册该侦听器的 
               DropTarget的放置站点的可操作部分时。
getLastModified	返回上次修改此文件对象的时间。
clone	克隆此对象
getAnnotation	返回该元素的，如果这样的注释 
               ，否则返回null指定类型的注释。
removeEventListener	此方法允许从事件目标中删除事件侦听器。
test	根据给定的参数计算此谓词。
userSessionActivated	用户会话切换到时调用。
getEditorComponent	返回应添加到此编辑器的树层次结构中的组件
getIconImage	返回作为此框架图标显示的图像
getLength	此映射中的节点数。
compareTo	将此日期时间与另一个日期时间进行比较，包括年表。
addNotify	将索引处的禁用图标设置为icon，可以为null
getSelectedRowCount	返回选中的行数
build	构建流，将此构建器转换为构建状态。
openFrame	如果可能，请在适当的位置显示此框架。
icSigColorantTableTag	ICC配置文件标记签名：'clrt'。
getParent	返回 
               父路径 ，如果此路径没有 
               父路径 ，则返回 
               null 。
setDocumentLocator	已过时。
awaitTermination	阻止所有任务在关闭请求之后完成执行，或发生超时，或者当前线程被中断，以先发生者为准。
setImplicitDownCycleTraversal	设置此排序焦点遍历策略是否隐式向下传递焦点
removeBeanContextServicesListener	删除一个 
               BeanContextServicesListener从这个 
               BeanContext
getTextLength	返回文本字符数组中此Text事件的字符序列的长度。
getAttributes	返回在此START_ELEMENT上声明的非命名空间声明属性的迭代器，如果没有属性，则返回空迭代器。
getName	返回表示SQL数据类型的 
               SQLType名称。
asReadOnlyBuffer	创建一个共享此缓冲区内容的新的只读长缓冲区。
getLocationOnScreen	返回屏幕上对象的位置。
listIterator	从列表中的指定位置开始，返回列表中元素的列表迭代器（按正确顺序）。
reset	重写过滤输入流重置以重置进度监视器及流
procedureNoResult	表示该过程未返回结果。
addImpl	重写以强制将玻璃组件的位置设为零子项
setBlob	将指定参数设置为给定的 
               java.sql.Blob对象。
releaseService	该方法由 
               BeanContextServices调用，释放嵌套的 
               BeanContextChild （或与 
               BeanContextChild相关联的任意对象）对指定服务的引用。
dispose	释放为上下文分配的资源。
previous	返回列表中的上一个元素并向后移动光标位置。
send	向此接收器发送MIDI消息和时间戳。
readFully	从输入流中读取 
               len个字节。
getInputMethodIcon	返回相应输入方法的图标。
getEnclosingElement	返回顶级类型的包，并返回 
               nested类型的直接词法封闭元素。
getMinute	获取分钟字段。
allocate	分配一个新的双缓冲区。
addColumn	将 
               aColumn追加到 
               tableColumns数组的末尾。
get	如果需要等待计算完成，然后检索其结果。
addLayoutComponent	此布局管理器方法不做任何操作
close	表示应用程序已完成使用变送器，并且可能会释放或提供所需的有限资源。
isAttribute	用于检查此事件是否为属性的实用程序函数。
readBit	从流中读取一个位并将其作为 
               int返回，值为 
               0或 
               1 。
endsWith	测试此路径是否以 
               Path ，通过转换给定的路径字符串构造，完全按照 
               endsWith(Path)方法指定的方式。
getIndex	按名称空间名称查找属性的索引。
findFirst	返回具有给定名称的ToolProvider的第一个实例，由ServiceLoader使用系统类加载器加载。
getProperty	从底层实现获取功能/属性的值
toString	返回总结此缓冲区状态的字符串。
cursorMoved	通知已注册的侦听器 
               RowSet对象的光标已移动。
getUsername	检索用于为此 
               RowSet对象创建数据库连接的用户名。
isCellEditable	询问编辑器是否可以使用 
               anEvent开始编辑。
onComplete	当已知对于尚未由错误终止的订阅不会发生其他订阅者方法调用时调用的方法，之后订阅不会调用其他订阅者方法。
toString	返回代表此直接颜色模型的字符串
isForwardCheckingSupported	指示是否支持前向检查。
updateLabelUiS	通过对每个标签调用updateUI来更新标签表中的标签的UI
insertEntries	向此大小序列中添加一组连续的条目
addChangeListener	将ChangeListener添加到模型的侦听器列表中。
getStroke	返回graphics2d上下文中的当前笔触
setRef	使用给定的 
               Ref值设置此 
               RowSet对象命令中的指定参数。
isTransformed	表明此字体对象是否具有除了大小属性之外还影响其大小的变换
createSocket	创建连接到指定主机和端口的客户端套接字。
selectAll	选择表中的所有行、列和单元格
menuSelectionChanged	当从菜单选择中添加或删除 
               MenuSelectionManager时，请 
               MenuElement 。
getSelectedColumn	返回第一个选中列的索引，如果没有选中的列，则为-1
setCaseSensitive	设置指定列是否区分大小写。
setContentHandler	允许应用程序注册内容事件处理程序。
setEncoding	字符编码，如果已知。
removeSelectionRow	从当前选择中移除索引行处的行
plusWeeks	返回此 
               ZonedDateTime的副本，并添加指定的周数。
getSize	返回此字体的点大小，四舍五入为整数
readAsciiStream	读取流中的下一个属性并将其作为ASCII字符流返回。
